Elapsed s, Pressure dBar, Conductivity S/m, Temperature degC, Density SG, Sound Speed m/s
2227,1698.207031,3.19235,2.8465,1.035386074,1489.276069
2237,1705.680053,3.19149,2.8317,1.035423056,1489.339715
2247,1713.635986,3.19054,2.804,1.035473596,1489.372286
2258,1720.95581,3.18986,2.7819,1.035518682,1489.415141
2268,1728.399047,3.18936,2.7951,1.035531986,1489.56525
2278,1735.749023,3.18878,2.7494,1.035600878,1489.541705
2288,1743.906982,3.18812,2.7705,1.035607989,1489.723733
2298,1751.394897,3.18724,2.7549,1.035645601,1489.784965
2308,1758.740966,3.18673,2.7514,1.03567448,1489.884952
2319,1766.244873,3.18597,2.7347,1.035714352,1489.945163
2329,1774.38208,3.18524,2.7124,1.03576252,1489.999778
2339,1781.749023,3.18469,2.7004,1.03579929,1490.074784
2349,1789.166015,3.18427,2.6916,1.035834414,1490.161981
2359,1796.36914,3.18392,2.671,1.0358807,1490.212555
2370,1804.555908,3.1835,2.6819,1.035899998,1490.36945
2380,1811.942993,3.18306,2.6545,1.035952744,1490.401784
2390,1819.359008,3.18247,2.6525,1.03597968,1490.506052
2400,1826.575927,3.18177,2.6606,1.035995005,1490.634751
2410,1834.593017,3.18036,2.6186,1.03605521,1490.61919
2420,1842.054077,3.17939,2.5944,1.036100136,1490.653479
2431,1849.45288,3.17865,2.6024,1.036115906,1490.784222
2441,1856.901001,3.17771,2.5791,1.036160188,1490.821391
2451,1865.034912,3.1767,2.5378,1.036224029,1490.816012
2461,1872.412841,3.17564,2.5515,1.036231135,1490.957935
2471,1879.61914,3.17428,2.5374,1.036261529,1491.011231
2481,1887.159912,3.17305,2.485,1.036331551,1490.960244
2492,1895.232055,3.1718,2.4575,1.03637952,1490.990099
2502,1902.519897,3.17068,2.4933,1.036364285,1491.194209
2512,1909.848022,3.16967,2.4733,1.036404202,1491.237832
2522,1917.069091,3.16881,2.4496,1.036448686,1491.271315
2532,1925.189086,3.16803,2.4412,1.03648285,1491.365303
2542,1932.432983,3.16752,2.4243,1.036524194,1491.424659
2553,1939.958007,3.16721,2.4247,1.036551877,1491.542365
2563,1947.144897,3.16705,2.3971,1.036606682,1491.575173
2573,1955.204101,3.16655,2.4017,1.03663068,1491.710748
2583,1962.465087,3.16618,2.3846,1.036673624,1491.772075
2593,1969.822021,3.16568,2.3718,1.036711561,1491.845431
2614,1985.185913,3.16421,2.3622,1.036770126,1492.04189
2624,1992.50708,3.1635,2.3261,1.036828465,1492.043065
2634,1999.890014,3.1629,2.3392,1.036840462,1492.19108
2644,2007.120849,3.16227,2.2995,1.036902686,1492.181516
